iter	Passed	Remaining
957	8967	393
958	8975	383
959	8984	374
960	8994	365
961	9002	355
962	9010	346
963	9019	336
964	9027	327
965	9035	318
966	9043	308
967	9051	299
968	9060	289
969	9068	280
970	9076	271
971	9085	261
972	9095	252
973	9104	243
974	9114	233
975	9124	224
976	9133	215
977	9142	205
978	9151	196
979	9159	186
980	9167	177
981	9176	168
982	9185	158
983	9193	149
984	9202	140
985	9211	130
986	9220	121
987	9228	112
988	9237	102
989	9247	93
990	9256	84
991	9264	74
992	9274	65
993	9283	56
994	9292	46
995	9301	37
996	9310	28
997	9318	18
998	9327	9
999	9336	0
